Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C0,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-25.4,73.05675,90,bottom
C1,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-38.1,61.144636,90,bottom
C2,0.1uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-117.899729,50.038,0,bottom
C3,0.1uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-130.175,50.078749,180,bottom
C4,0.1uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-131.7925,63.043544,90,bottom
C5,0.1uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-117.475,65.913,180,bottom
C6,1uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-114.3,58.914098,180,bottom
C7,22p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-126.376695,71.406796,135,bottom
C8,22p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-120.942444,71.284797,45,bottom
C9,2.2uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-122.60559,41.30675,90,bottom
D_SPACE1,D,D_SOD-123,-12.619831,65.913,90,bottom
D_SPACE2,D,D_SOD-123,-31.669135,65.913,90,bottom
D_SPACE3,D,D_SOD-123,-50.718439,65.913,90,bottom
D_SPACE4,D,D_SOD-123,-69.767743,65.913,90,bottom
D_SPACE5,D,D_SOD-123,-88.817047,65.913,90,bottom
D_SPACE6,D,D_SOD-123,-107.866352,65.913,90,bottom
D_SPACE8,D,D_SOD-123,-145.976512,65.913,90,bottom
D_SPACE9,D,D_SOD-123,-165.026512,65.913,90,bottom
D_SPACE10,D,D_SOD-123,-184.076512,65.913,90,bottom
D_SPACE11,D,D_SOD-123,-203.126512,65.913,90,bottom
D_SPACE12,D,D_SOD-123,-222.176512,65.913,90,bottom
D_SPACE13,D,D_SOD-123,-241.226512,65.913,90,bottom
D_SPACE14,D,D_SOD-123,-12.619831,46.863,90,bottom
D_SPACE15,D,D_SOD-123,-31.669135,46.863,90,bottom
D_SPACE16,D,D_SOD-123,-50.718439,46.863,90,bottom
D_SPACE17,D,D_SOD-123,-69.767743,46.863,90,bottom
D_SPACE18,D,D_SOD-123,-88.817047,46.863,90,bottom
D_SPACE19,D,D_SOD-123,-107.866352,46.863,90,bottom
D_SPACE21,D,D_SOD-123,-145.976512,46.863,90,bottom
D_SPACE22,D,D_SOD-123,-165.026512,46.863,90,bottom
D_SPACE23,D,D_SOD-123,-184.076512,46.863,90,bottom
D_SPACE24,D,D_SOD-123,-203.126512,46.863,90,bottom
D_SPACE25,D,D_SOD-123,-222.176512,46.863,90,bottom
D_SPACE26,D,D_SOD-123,-241.226512,46.863,90,bottom
D_SPACE27,D,D_SOD-123,-26.19375,27.813,90,bottom
D_SPACE28,D,D_SOD-123,-41.199842,27.813,90,bottom
D_SPACE29,D,D_SOD-123,-60.25063,27.813,90,bottom
D_SPACE30,D,D_SOD-123,-79.301418,27.813,90,bottom
D_SPACE31,D,D_SOD-123,-98.352206,27.813,90,bottom
D_SPACE32,D,D_SOD-123,-117.402994,27.813,90,bottom
D_SPACE34,D,D_SOD-123,-136.453782,27.813,90,bottom
D_SPACE35,D,D_SOD-123,-155.50457,27.813,90,bottom
D_SPACE36,D,D_SOD-123,-174.555358,27.813,90,bottom
D_SPACE37,D,D_SOD-123,-193.606146,27.813,90,bottom
D_SPACE38,D,D_SOD-123,-212.65694,27.813,90,bottom
D_SPACE39,D,D_SOD-123,-240.50625,27.813,90,bottom
D_SPACE40,D,D_SOD-123,-43.573547,8.763,90,bottom
D_SPACE41,D,D_SOD-123,-69.785728,8.763,90,bottom
D_SPACE42,D,D_SOD-123,-88.823659,8.763,90,bottom
D_SPACE43,D,D_SOD-123,-116.68125,8.763,90,bottom
D_SPACE44,D,D_SOD-123,-147.6375,8.763,90,bottom
D_SPACE45,D,D_SOD-123,-154.78125,8.763,90,bottom
D_SPACE46,D,D_SOD-123,-197.64375,8.763,90,bottom
D_SPACE47,D,D_SOD-123,-215.01272,8.763,90,bottom
F1,Polyfuse_Small,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,-27.15379,60.111181,0,bottom
J1,AVR-ISP-6,IDC-Header_2x03_P2.54mm_Vertical,-114.6175,68.92925,0,bottom
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-58.15,61.354259,180,bottom
R2,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-132.380304,52.976911,90,bottom
SW1,SW_PUSH,SW_SPST_SKQG_WithoutStem,-57.15,66.70675,-90,bottom
U1,SRV05-4,SOT-23-6_Handsoldering,-19.05,63.661526,0,bottom
U2,ATmega32U4-M,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm_ThermalVias,-123.825,57.816928,0,bottom
UR1,22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-114.3,54.8005,0,bottom
UR2,22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-114.3,56.8325,0,bottom
UR3,1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-27.78125,73.05675,-90,bottom
UR4,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-6.35,73.05675,-90,bottom
UR5,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-8.73125,73.05675,-90,bottom
UR6,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-120.0625,41.30675,90,bottom
UR7,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-127.79375,41.30675,-90,bottom
UR8,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-124.98684,41.30675,-90,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,-19.05,78.5244,0,bottom
X1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,-123.323694,68.903547,-135,bottom
