Ref,Val,Package,PosX,PosY,Rot,Side
"K_SPACE1","KEYSW","MXOnly-1U-NoLED",9.525000,66.706750,0.000000,top
"K_SPACE2","KEYSW","MXOnly-1U-NoLED",28.575000,66.706750,0.000000,top
"K_SPACE3","KEYSW","MXOnly-1U-NoLED",47.625000,66.706750,0.000000,top
"K_SPACE4","KEYSW","MXOnly-1U-NoLED",66.675000,66.706750,0.000000,top
"K_SPACE5","KEYSW","MXOnly-1U-NoLED",85.725000,66.706750,0.000000,top
"K_SPACE6","KEYSW","MXOnly-1U-NoLED",104.775000,66.706750,0.000000,top
"K_SPACE7","KEYSW","MXOnly-1.5U-NoLED",14.287500,28.606750,0.000000,top
"K_SPACE8","KEYSW","MXOnly-1U-NoLED",142.875000,66.706750,0.000000,top
"K_SPACE9","KEYSW","MXOnly-1U-NoLED",161.925000,66.706750,0.000000,top
"K_SPACE10","KEYSW","MXOnly-1U-NoLED",180.975000,66.706750,0.000000,top
"K_SPACE11","KEYSW","MXOnly-1U-NoLED",200.025000,66.706750,0.000000,top
"K_SPACE12","KEYSW","MXOnly-1U-NoLED",219.075000,66.706750,0.000000,top
"K_SPACE13","KEYSW","MXOnly-1U-NoLED",238.125000,66.706750,0.000000,top
"K_SPACE14","KEYSW","MXOnly-1U-NoLED",9.525000,47.656750,0.000000,top
"K_SPACE15","KEYSW","MXOnly-1U-NoLED",28.575000,47.656750,0.000000,top
"K_SPACE16","KEYSW","MXOnly-1U-NoLED",47.625000,47.656750,0.000000,top
"K_SPACE17","KEYSW","MXOnly-1U-NoLED",66.675000,47.656750,0.000000,top
"K_SPACE18","KEYSW","MXOnly-1U-NoLED",85.725000,47.656750,0.000000,top
"K_SPACE19","KEYSW","MXOnly-1U-NoLED",104.775000,47.656750,0.000000,top
"K_SPACE20","KEYSW","MXOnly-1.5U-NoLED",233.362500,28.606750,0.000000,top
"K_SPACE21","KEYSW","MXOnly-1U-NoLED",142.875000,47.656750,0.000000,top
"K_SPACE22","KEYSW","MXOnly-1U-NoLED",161.925000,47.656750,0.000000,top
"K_SPACE23","KEYSW","MXOnly-1U-NoLED",180.975000,47.656750,0.000000,top
"K_SPACE24","KEYSW","MXOnly-1U-NoLED",200.025000,47.656750,0.000000,top
"K_SPACE25","KEYSW","MXOnly-1U-NoLED",219.075000,47.656750,0.000000,top
"K_SPACE26","KEYSW","MXOnly-1U-NoLED",238.125000,47.656750,0.000000,top
"K_SPACE27","KEYSW","MXOnly-1U-NoLED",19.050000,28.606750,0.000000,top
"K_SPACE28","KEYSW","MXOnly-1U-NoLED",38.100000,28.606750,0.000000,top
"K_SPACE29","KEYSW","MXOnly-1U-NoLED",57.150000,28.606750,0.000000,top
"K_SPACE30","KEYSW","MXOnly-1U-NoLED",76.200000,28.606750,0.000000,top
"K_SPACE31","KEYSW","MXOnly-1U-NoLED",95.250000,28.606750,0.000000,top
"K_SPACE32","KEYSW","MXOnly-1U-NoLED",114.300000,28.606750,0.000000,top
"K_SPACE33","KEYSW","MXOnly-1.25U-NoLED",16.668750,28.606750,0.000000,top
"K_SPACE34","KEYSW","MXOnly-1U-NoLED",133.350000,28.606750,0.000000,top
"K_SPACE35","KEYSW","MXOnly-1U-NoLED",152.400000,28.606750,0.000000,top
"K_SPACE36","KEYSW","MXOnly-1U-NoLED",171.450000,28.606750,0.000000,top
"K_SPACE37","KEYSW","MXOnly-1U-NoLED",190.500000,28.606750,0.000000,top
"K_SPACE38","KEYSW","MXOnly-1U-NoLED",209.550000,28.606750,0.000000,top
"K_SPACE39","KEYSW","MXOnly-1U-NoLED",228.600000,28.606750,0.000000,top
"K_SPACE40","KEYSW","MXOnly-1.25U-NoLED",35.718750,9.556750,0.000000,top
"K_SPACE41","KEYSW","MXOnly-1U-NoLED",57.150000,9.556750,0.000000,top
"K_SPACE42","KEYSW","MXOnly-1.25U-NoLED",78.581250,9.556750,0.000000,top
"K_SPACE43","KEYSW","MXOnly-1.75U-NoLED",107.156250,9.556750,0.000000,top
"K_SPACE44","KEYSW","MXOnly-1.75U-NoLED",140.493750,9.556750,0.000000,top
"K_SPACE45","KEYSW","MXOnly-1.25U-NoLED",169.068750,9.556750,0.000000,top
"K_SPACE46","KEYSW","MXOnly-1U-NoLED",190.500000,9.556750,0.000000,top
"K_SPACE47","KEYSW","MXOnly-1.25U-NoLED",211.931250,9.556750,0.000000,top
"K_SPACE48","KEYSW","MXOnly-1.25U-NoLED",230.981250,28.606750,0.000000,top
"K_SPACE49","KEYSW","MXOnly-1.75U-NoLED",40.481250,9.556750,0.000000,top
"K_SPACE50","KEYSW","MXOnly-1U-NoLED",66.675000,9.556750,0.000000,top
"K_SPACE51","KEYSW","MXOnly-1U-NoLED",85.725000,9.556750,0.000000,top
"K_SPACE52","KEYSW","MXOnly-1.5U-NoLED",109.537500,9.556750,0.000000,top
"K_SPACE53","KEYSW","MXOnly-1.5U-NoLED",138.112500,9.556750,0.000000,top
"K_SPACE54","KEYSW","MXOnly-1U-NoLED",161.925000,9.556750,0.000000,top
"K_SPACE55","KEYSW","MXOnly-1U-NoLED",180.975000,9.556750,0.000000,top
"K_SPACE56","KEYSW","MXOnly-1.75U-NoLED",207.168750,9.556750,0.000000,top
"K_SPACE57","KEYSW","MXOnly-1.25U-NoLED",59.531250,9.556750,0.000000,top
"K_SPACE58","KEYSW","MXOnly-1U-NoLED",80.962500,9.556750,0.000000,top
"K_SPACE59","KEYSW","MXOnly-1U-NoLED",166.687500,9.556750,0.000000,top
"K_SPACE60","KEYSW","MXOnly-1.25U-NoLED",188.118750,9.556750,0.000000,top
"OL1","OLED","OLED_v2",123.825000,74.911750,180.000000,top
"SW2","SW_PUSH","SW_SPST_SKQG_WithoutStem",57.150000,66.706750,90.000000,top
"SW3","RotaryEncoder_Switch","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",130.850000,21.130049,90.000000,top
